,Nombre empresa,Puesto ofertado,Ubicación,Días activos,Nº Solicitudes,Nivel experiencia,Sector,Tipo jornada,Funciones laborales,Descripción,Tipo puesto
702,Sector Alarm España,Marketing Data Engineer,Madrid, 4 días,128,Algo de responsabilidad,Servicio al consumidor,Jornada completa,Marketing Ventas,"Anunciado por
Marta Ros Claros 2º
Talent & Recruitment Manager HR Manager HRBP
About Sector Alarm
In Sector Alarm, we are constantly developing our products and services. Our state-of-the-art solutions, together with our great employees, have resulted in strong financial and organic growth over the last years.
To support our continuous growth and expansion, we need to strengthen our team with a Marketing Analytics Engineer. This position will be based in Madrid, reporting to the Group Marketing Analytics Director.
We are looking for a natural team player, who is results-oriented and loves working with people from different cultures. This person will work closely with the country Marketing teams to support our growth strategies.
 The role
As part of the Group Marketing team, with a direct line to the Group Director of Marketing Analytics, you will be taking part in providing data and insights across the organization to support Marketing decisions.
 You will be working at group level providing support and collaborating with 6 countries: Norway, Sweden, Finland, Ireland, France, and Spain.
You will set-up and maintain the data infrastructure and processes that support marketing information systems and applications.
Main responsibilities
Ensure Data Quality
Build an optimize ETL processes, integrating additional data sources as needed
Maintain our data infrastructure, optimizing for cost, performance, scalability and reliability
Liaise with Business Intelligence, Local Marketing Teams and other stakeholders to get the right data needed to generate dashboards and analysis
Maintain and evolve our Web Analytics Instrumentation
Maintain and evolve existing dashboards
Support ad hoc projects (e.g. Attribution Modelling)

What is your background
Undergraduate or master’s degree with 1-3 years of experience as a Data engineer or similar role, in a strong digital environment, digital media experience a plus.
Coding skills in Python and SQL
Digital Analytics knowledge (Google Analytics, google tag Manager, Segment…)
Knowledge / Experience with Dashboard solutions (eg. PowerBI, Tableau, …)
Cloud Experience (AWS, Azure or Google Cloud) and CRM Microsoft Dynamics experience is a plus
 What is your profile
Excellent analytical and quantitative problem-solving skills
Agility, flexibility, capability to adapt and work quickly
Proactive with a “can do attitude” and eager to keep learning
Great ability to work in a team environment and with people at all levels in an organization
Excellent verbal & written communication skills in English.
Nivel de experiencia
Algo de responsabilidad
Sector
Servicio al consumidor
Tipo de empleo
Jornada completa
Funciones laborales
Marketing Ventas",Data Scientist
703,VIEWNEXT,Data Engineer (Tableau),Salamanca, 1 semana,237,Intermedio,Servicios y tecnologías de la información,Jornada completa,Tecnología de la información,"¿Te gustaría trabajar con grandes clientes y formar parte de proyectos innovadores?
Desde VIEWNEXT buscamos gente como tú: innovadora, con talento y con ganas de mejorar cada día en nuestro entorno.

¿Qué buscamos?
Buscamos un Data Engineer con conocimientos y experiencia en el diseño y desarrollo de Dashboards en Tableau, partiendo de maquetas del usuario como interfaz a la información cargada, para formar parte de un gran proyecto tecnológico en el sector de farmacéutico.

Requisitos:
Experiencia de más de 3 años en Tableau
Nivel alto de inglés

¿Por qué Viewnext?
Te ofrecemos:
Integrarte en una compañía del grupo IBM con más de 4500 trabajadores.
Formación específica a cargo de la empresa una vez iniciada la relación laboral.
Integración en proyectos para diferentes e importantes clientes.
Plan de formación continuo, desarrollo profesional y plan de carrera definido adaptado a ti.
Plan de retribución flexible acorde a tus necesidades (seguro médico privado, cheques formación para estudiar idiomas, cheques guardería, tarjeta transporte...).
Integración en un equipo de profesionales motivados, en un ambiente de trabajo innovador y dinámico.
Modelo de gestión sostenible y políticas de igualdad efectiva, ambientes de trabajo abiertos e inclusivos.
Alto grado de autonomía, horario flexible y posibilidad de realizar teletrabajo.

Si estás interesad@ no dudes en inscribirte en nuestra oferta, ¡queremos conocerte!

¿Quieres saber un poco más de nosotros? Haz click en el siguiente enlace:

https://www.youtube.com/watch?v=C9z50VSdjc
Nivel de experiencia
Intermedio
Sector
Servicios y tecnologías de la información
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Scientist
704,Accenture España,Data Scientist Madrid/Barcelona/Bilbao,Barcelona, 2 semanas,4071,Intermedio,Servicios y tecnologías de la información Software Telecomunicaciones,Jornada completa,Investigación Estrategia/planificación,"About Accenture

Accenture is a leading global professional services company, providing a broad range of services at scale in strategy and consulting, interactive, technology and operations, with digital capabilities across all off these services.

We combine unmatched experience and specialized capabilities across more than 40 industries – powered by the world’s largest network of Advanced Technology and Intelligent Operations centers.

With 513,000 people serving clients in more than 120 countries, Accenture brings continuous innovation to help clients improve their performance and create lasting value across their enterprises.

Working closely with clients our Strategy & Consulting professionals help transform the world’s leading organizations, working across the C-suite to capitalize on disruption, enable competitiveness, and drive growth and profitability via continuous innovation.

About Supply Chain And Operations Applied Intelligence

Part of Accenture Strategy and Consulting, we help our clients grow their business in entirely new ways. Artificial Intelligence and Analytics enable our clients to achieve high performance through insights from data - insights that inform better decisions and strengthen customer relationships.

The Barcelona Innovation Center has been at the forefront in helping clients from around the globe and across industries under the umbrella of intelligent operations for the last 15 years. We develop cutting-edge assets and solutions to reduce costs and improve supply chain processes, such as optimization of stock levels, demand planning and forecasting, automated warranty solutions, and predictive asset maintenance.

Our team is composed of over 90 data scientists and Data Engineers with specialized background in Supply Chain & Operations, 20% of which are PhD’s in the areas of Mathematics, Computer Science, Physics or Statistics. All that knowledge, combined with Accenture’s business experience, fosters an environment that allows us to quickly react to changing business conditions and provide tailored solution for our client’s needs.

Data Scientist role:

You will have the opportunity of being part of the Data Analyst group, working for our top clients in the evolution of their core systems and the implementation of new digital technologies. As part of the group, you will be trained on new Data, and you can take part of certification processes for those technologies.

Your Goals

Your objective would be to re-imagine the future of the industry, and the next generation of predictive process control

Your role will require the extraction, wrangling and enrichment of data from one or multiple sources, online or offline

Develop innovative thought leadership and contribute to the creation of points of view on re-usable models in Supply Chain.

Key Responsibilities

Responsible for the development of predictive models and the generation of data-driven insights to solve industrial problems or challenges.

You’ll be responsible for development, training and validation of mentioned models, and the visualization of the data and model results through dynamic dashboards.

Manage and manipulate data sets, including: variables definition, performing calculations and summarizations, and creating solutions to address client business needs.

Outline and structure the project tasks and best approach, along with team senior members, from the detailed understanding of client’s problem statement and their specific business requirements.

Provide specific training and guidance to development factory to ensure data integration activities around base and feature-enriched tables align with the analytical models.

Develop and maintain analytical models.

Demonstrate a high degree of ownership, accountability for your output and commitment to the task.

Mentor and train junior developers and modelers.

Support Management team on client proposals and other sales activities.

Ability to work collaboratively and effectively with offshore development teams and provide guidance to ensure quality deliverables.

Skills you will need:

You should have working knowledge of process data visualization, statistics/statistical testing, machine learning, data mining, and database structure and management.

Passion in statistical analysis.

Critical thinking and attention to detail.

Statistical analysis/programming in tools like R, SAS, PYTHON, SCADA, Spark, MATLAB, Tensor Flow, Torch, Caffe, Excel, CNTK.

Knowledge in visualization tools like Shiny, Spotfire, Qlikview, Tableau, PowerBI.

Knowledge of full life cycle development methodologies
Nivel de experiencia
Intermedio
Sector
Servicios y tecnologías de la información Software Telecomunicaciones
Tipo de empleo
Jornada completa
Funciones laborales
Investigación Estrategia/planificación",Data Scientist
705,Elastic,Observability - Senior Data Scientist,Barcelona, 3 días,97,no_data,Servicios y tecnologías de la información Software Internet,Jornada completa,Otro,"Elastic is a free and open search company that powers enterprise search, observability, and security solutions built on one technology stack that can be deployed anywhere. From finding documents to monitoring infrastructure to hunting for threats, Elastic makes data usable in real-time and at scale. Thousands of organizations worldwide, including Barclays, Cisco, eBay, Fairfax, ING, Goldman Sachs, Microsoft, The Mayo Clinic, NASA, The New York Times, Wikipedia, and Verizon, use Elastic to power mission-critical systems. Founded in 2012, Elastic is a distributed company with Elasticians around the globe. Learn more at elastic.co.

The Observability team is in charge of developing solutions that focus on application developers and engineers that run infrastructure and services supporting these applications. Elasticsearch is an efficient datastore for logs, metrics, and application traces, supporting the three pillars of observability. The Observability team builds and maintains solutions that make getting insights from this data turnkey and efficient, such as our APM, Metrics, Logs and Uptime solutions. When developing these solutions, we think about the problem end-to-end: how do we automatically collect data from common data sources, how do we store it efficiently in Elasticsearch, how do we present this information to the user, what actions do we take on the insights from the data? All of these aspects are important in bringing a turnkey solution to the market.

The Observability team is looking for a Data Scientist to develop machine learning technologies to help with root cause analysis, anomaly detection and performance improvement in Logs, Metrics, APM and Synthetic Monitoring data. We value autonomy, curiosity, fastidiousness, and questioning the status quo. You will partner with the broader Elastic Observability team, a diverse set of Observability specialists who lend domain expertise to work with you in order to solve creative Observability problems.

You will also collaborate with the Machine Learning team to work on new and improve existing Machine Learning algorithms.

The team is diverse and distributed across the world, and collaborates every day over GitHub, Zoom, and Slack. Thus, the ability to work within a distributed team is critical. You don’t always need to be the person with the answer or the person making the decisions, but instead should be able to guide discussions to help the team make decisions together.

What you will be doing

Working as part of the Observability team at Elastic, with other machine learning specialists and engineers
Your primary focus will be the successful training, evaluating, and delivery of Observability ML integrations, correlations and root cause analysis workflows
Automate collection of customer feedback data in order to make our models better
Design small-scale experiments to understand new data and determine concept drift
Design dashboards to explain efficacy and performance of current vs. historical models
Participate in collaborative efforts to improve our ML jobs with the ML team and other engineers
You will be encouraged to design and prototype machine learning models to demonstrate real-time Observability data to provide anomaly detection
Design and develop data-driven solutions that can run against millions of Observability data points

What you will bring along

5+ years of machine learning experience; strong preference for a focus on Observability problems
Solid understanding of deep learning, clustering, and graph algorithms
Experience working within engineering teams and being able to apply engineering solutions to data science problems
Experience using or developing data pipelines including the collection, normalization, storage, and API access of complex event data
Proficient programming skills and experience using ML-related libraries
Ability to synthesize evaluation metrics, customer feedback, and internal analysis to tell a clear story of model performance
Passion for providing novel contributions on machine learning techniques
Experience as a hands-on software engineer so you understand the core principles of the engineering work that is going on in your team
A conscientious approach to communication, a good sense of humour, and a genuine interest in the success and growth of the people you work with
Experience with observability, monitoring, and AIOps solutions
Ability to work in a fast paced and highly autonomous environment
Experience training models using scikit-learn, xgboost, PyTorch/Tensorflow is a plus

Additional Information - We Take Care of Our People

As a distributed company, diversity drives our identity. Whether you’re looking to launch a new career or grow an existing one, Elastic is the type of company where you can balance great work with great life. Your age is only a number. It doesn’t matter if you’re just out of college or your children are; we need you for what you can do.

We strive to have parity of benefits across regions and while regulations differ from place to place, we believe taking care of our people is the right thing to do.

Competitive pay based on the work you do here and not your previous salary
Health coverage for you and your family in many locations
Ability to craft your calendar with flexible locations and schedules for many roles
Generous number of vacation days each year
Double your charitable giving - We match up to $1500 (or local currency equivalent)
Up to 40 hours each year to use toward volunteer projects you love
Embracing parenthood with minimum of 16 weeks of parental leave

Different people approach problems differently. We need that. Elastic is committed to diversity as well as inclusion. We are an equal opportunity employer and committed to the principles of affirmative action. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status or any other basis protected by federal, state or local law, ordinance or regulation. If you require any reasonable accessibility support, please email candidate_accessibility@elastic.co.
Sector
Servicios y tecnologías de la información Software Internet
Tipo de empleo
Jornada completa
Funciones laborales
Otro",Data Scientist
706,eDreams ODIGEO,BI Data Engineer,Barcelona, 1 semana,140,Algo de responsabilidad,"Ocio, viajes y turismo",Jornada completa,Tecnología de la información Negocios,"Anunciado por
Elisabet Abad 2º
Senior Talent Acquisition Specialist en eDreams ODIGEO
eDreams ODIGEO is one of the world's largest online travel companies and one of the largest e-commerce businesses in Europe. Under its four leading online travel agency brands – eDreams, GO Voyages, Opodo, Travellink, and the metasearch engine Liligo – it serves more than 18 million customers per year across 46 markets. Listed on the Spanish Stock Market, eDreams ODIGEO works with over 665 airlines and has partnerships with 130. The brand offers the best deals in regular flights, low-cost airlines, hotels, cruises, car rental, dynamic packages, holiday packages and travel insurance to make travel easier, more accessible, and better value for consumers across the globe.

The BI Data Engineer will work within the BI team in an agile environment working on the current BI platform migration from Oracle to Google Cloud Big Data technology. His main responsibilities will cover the full ETL process, from data gathering to dashboard building in Microstrategy. The new platform will be able to support billions of records per day.


Your role?

Understand and translate Product Owners needs into specific tasks.
Analyze, document and develop reports targeted to a variety of users.
Data load processes development and optimization.
Data QA control.
Support users when needed.
Liaise with other areas of the BI department.



So, are you the right fit? YES, if you:

BS or MS in Computer Science or equivalent (IT engineer), Mathematics, Physics, Economics, etc...
+2 year experience in SQL and data modeling.
+2 years of solid proficiency experience in Python.
+2 year experience working in agile environments.
+1 year experience in Google Cloud Composer (Airflow), Data Proc and BigQuery.
Experience in Visualization tools such as Microstrategy or Qlikview is desirable but not mandatory.
Analytic mind, organized, team player and self-starter. With attention to detail and focused on results and productivity.
English is a must.


What do we offer?

Safe environment during COVID times: Onboarding and daily work can be done 100% remote.
A free eDreams Prime subscription to benefit from significant discounts on your travels.
Competitive compensation package with an attractive bonus structure.
Excellent environment for continuous growth and learning: with our Learning & Development programs, you will have access to tech talks, internal soft skills and technical skills training, language lessons, external events and industry conferences.
Free subscription to O'Reilly Online Learning.
Fast-track career development: with our unique programs, you are always working towards the next step on your career path.
We also have for you a Ticket Restaurant benefit & unlimited beverages and coffee for free at the office (with many types of milk alternatives) because we like our eDOers happy and healthy! 
A phenomenal lifestyle and work-life-balance.
New to the city? We also offer great relocation packages.
Additional prizes and awards for a variety of team and individual achievements.
Fun at work: at eDreams ODIGEO, work and fun go hand in hand!

… And the opportunity to work in a dynamic, dedicated, fun and passionate team of professionals. We journey together!

Come fly with us and join us now.

eDreams ODIGEO under its four leading online travel agency brands – eDreams, GO Voyages, Opodo, Travellink, and the metasearch engine Liligo –is an equal opportunity employer and value diversity and inclusion. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status or disability status.
Nivel de experiencia
Algo de responsabilidad
Sector
Ocio, viajes y turismo
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información Negocios",Data Scientist
707,Qbeast Analytics,Senior Big Data Engineer,Barcelona, 2 meses,36,Algo de responsabilidad,Servicios y tecnologías de la información Software Internet,Jornada completa,Ingeniería Tecnología de la información,"About Qbeast

Qbeast is a spin-off of the Barcelona Supercomputing Center (BSC) with an innovative approach to Big Data. Qbeast's data storage technology organizes and manages data in the way our brain consumes it, providing great insights while accessing only the minimum quantity of raw data, something we call Data Leverage.

We're in Barcelona and backed by investors (VCs).

The Opportunity

We are actively looking for a person to help create Spark extensions, extend Apache Spark's Query planner, promote best practices, and support our Big Data infrastructure.

We want you...

As a critical piece of our tech team, the job will involve:
The design and implementation of extensions for the Spark query planner and analyzer, and optimizing Spark to take advantage of the technology of Qbeast
Key tasks to make our Platform ready for market in 2021
Set up a regression benchmark process to test the speed and improvements of the Qbeast Platform overtime.

To be in the team we ask for
English proficient at work
University degree in STEM
Work at least 3 days a week in the office
Master: Git, Bash, regex, issue tracking
Takes informed technical decisions based on data
Experience running Spark in production
Detailed knowledge of the different steps performed by Spark to ingest and analyze data
Well-organized, able to follow agile or methodologies, and capable of organizing the work
Willing to keep learning, sharing knowledge, and support other members of the team
Willing to teach, coach other junior colleges


Nice To Have
Experience implementing Spark DataSources
Previous experience integrating Big Data software and communications (JDBC)
Experience injecting custom extensions on Spark or modifying the internals of Spark
Ph.D. or Ph.D. candidate
Experience deploying on K8s
Knowledge of Scala is a must, willing to learn Python.

Our tech stack
We are developing a revolutionary storage technology that will power data analytics for different processing frameworks, starting with Apache Spark.
We deliver a full-stack platform built on Voila, Jupyter, VueJS/React with Spark, and our storage solution, all running on K8s.
Our programming languages are mainly Python, Scala, Java, and Js.


Benefits

Market conditions according to your background and experience

Friendly office in the 22@ in Barcelona, next to the beach and the City Center.

Flexible Compensation.

Our Commitment

The good things of a startup: we are building a culture of work, not only revolutionary software.

You will be with talented, nice people.

The best coffee you will find.

Qbeast will be a company of reference in Data Engineering.

We are always learning about tech and business.
Nivel de experiencia
Algo de responsabilidad
Sector
Servicios y tecnologías de la información Software Internet
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información",Data Scientist
708,DataRobot,Customer Facing Data Scientist,Barcelona, 1 semana,806,Intermedio,Servicios y tecnologías de la información Software Internet,Jornada completa,Ingeniería Tecnología de la información,"Customer Facing Data Scientists (CFDSs) are critical to making our customers successful. An ideal CFDS candidate should have strong fundamentals of applied data science in business setting, and should enjoy communicating and evangelizing data science solutions to business stakeholders.

Responsibilities
Product
Representing the DataRobot product from a technical standpoint to customers – including demonstrations, conducting proof-of-concept trials, helping clients evaluate success criteria, and training users
Providing the customer’s point of view to DataRobot’s Product team, informing the direction of future product feature development
Data Science
Enabling customers to solve complex data science problems using DataRobot – including problem framing, data preparation, model building, model deployment, model management, and output consumption
In some cases, executing data science workflows for customers
Providing data science knowledge and expertise as a trusted advisor to the client
Project management
Conducting and managing data science projects with customer’s vision of success in mind
Collaborating with Sales, Field Engineers, and the rest of the DataRobot team to identify the best possible resources to move forward customer’s projects
Leadership
Building a long-term trusted relationship with the customer so that the customers can be led towards success
Understanding and empathizing with customers’ pain points of building AI solutions
Qualifying opportunities where DataRobot can be a suitable fit and thus making DataRobot more efficient
Presenting DataRobot in industry conferences as well as creating powerful technical content for marketing purposes

On a day-to-day basis, CFDS work side-by-side with the Sales, Account Management, and Field Engineering teams to help our customers achieve their goals with DataRobot. Internally, CFDS act as the voice of the customer to the Product, Engineering, and Marketing teams.

Main Requirements
4-5+ years of real-world business experience in a data science role
Hands-on experience building and implementing predictive models using machine learning algorithms
Strong customer interaction experience
Strong project management skills
Excellent organizational, communication, writing and interpersonal skills
Familiarity with a variety of technical tools for the manipulation of datasets
Fluency with scripting (Python / R)
Up to 25% travel outside of Barcelona (remote work during pandemic)
Language requirements: English and Spanish


Desired
Familiarity with consultative sales process in the analytics marketplace
Familiarity with Hadoop and related Big Data technologies
Experience dealing with complex customer organizations
Nivel de experiencia
Intermedio
Sector
Servicios y tecnologías de la información Software Internet
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información",Data Scientist
709,Westinghouse Electric Company,Senior Data Engineer,Madrid, 4 semanas,295,Algo de responsabilidad,Servicios y tecnologías de la información Dotación y selección de personal Recursos humanos,Jornada completa,Tecnología de la información,"Senior Data Engineer
Are you interested in being part of an innovative team that supports Westinghouse’s mission to provide clean energy solutions? At Westinghouse, we recognize that our employees are our most valuable asset and we seek to identify, attract and recruit the most qualified talent while recognizing and encouraging the value of diversity in the global workplace.
Westinghouse currently has two opportunities for Senior Data Engineers to join our growing Digital & Innovation organization. The Senior Data Engineer is responsible for the maintenance, improvement, cleaning, transforming, and movement of data related to Westinghouse’s digital solutions. Daily interactions with data scientists and stakeholders are expected in order to understand and aid in the implementation of database requirements and ensure database and data pipeline health. The Senior Data Engineer will also support Data Engineer leaders to maintain standards and collaborate with IT for database administration.
Your Day To Day
Depending on scope complexity, the Senior Data Engineer will either lead or work as a team member to:
Implement data schemas, stored procedures, data pipelines, and data visualization artifacts
Build and maintain services for optimal ingestion, transformation, and loading of data from a wide variety of data sources and small to large data sets
Develop and maintain scalable data pipelines and API integrations to support increases in data volume and complexity
Implement processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it
Prepare and deliver reports to leadership on data quality and recommendations for continuous improvement
Implement changes to data architecture and transform data to prepare for use by the data scientists and development teams
Support Data Engineer leadership to create and maintain standards and guidelines based on industry best practices for ETL solutions, data storage, data ingestion, and data pipelines
Collaborate with IT for database administration

Who You Are
As a successful candidate, you will bring the following to the team:
B.S. in Computer Science, Information Systems, or equivalent
3+ years of experience of developing data schemas, stored procedures, data pipelines, and data visualization
Microsoft Certified: Azure Data Engineer Associate ( Preferred )
Microsoft Certified: Azure Database Administrator Associate (Preferred)
Core Technical Skillset: Experience with Relational Database Management System technologies and architecture, proficiency with PL/SQL and/or T-SQL, Relational and NoSQL database, XML, JSON, and tabular data sources, strong understanding of ETL principles, time series data, and Python
Ability to develop, implement and deliver commercial-grade systems, products and services

Why Westinghouse?
We Enable Our Delivery Of This Vision By Living Our Value System
Westinghouse Electric Company is the global nuclear energy industry’s first choice for safe, clean, and efficient energy solutions.
Safety and Quality
Integrity and Trust
Customer Focus and Innovation
Speed and Passion to Win
Teamwork and Accountability

The Following Are Representative Of What We Offer
Westinghouse offers competitive benefits to all our employees around the globe to keep them healthy and enhance their well-being. In the U.S.
Competitive Salary
Comprehensive Health, Wellness and Income Protection Benefits
401(k) Savings Plan with Company Match
Paid Vacations and Holidays
Opportunities for Flexible Work Arrangements
Educational Reimbursement Program
Employee Referral Program

While our Global Headquarters are located in Cranberry Township, PA, we have over 9,000 employees working at locations in 19 different countries. You can learn more by visiting http://www.westinghousenuclear.com .
EOE of Minorities / Females / Vets / Disability.
Get Connected With Westinghouse On Social Media
Twitter | Facebook | LinkedIn | YouTube
Employment opportunities may require access to information which is subject to the export control regulations of the United States. Hiring decisions for such positions are required by law to be made in compliance with these regulations. Applicants for employment opportunities in other countries must be able to meet the comparable export control requirements of that country and of the United States.
Nivel de experiencia
Algo de responsabilidad
Sector
Servicios y tecnologías de la información Dotación y selección de personal Recursos humanos
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Scientist
710,EY,Data Scientist (0-5 years of experience) at Wavespace Artificial Intelligence Center,Madrid, 4 días,2662,Sin experiencia,Consultoría de estrategia y operaciones Servicio de información,Jornada completa,Consultoría Tecnología de la información,"The AI team Wavespace is looking for Data Scientists with a background in machine learning and deep learning technologies to help design and build cutting edge AI solutions. We are creating innovative AI technology and products that will transform EY and our clients. The successful candidate will be part of a team building innovative AI solutions that rely on AI and ML techniques including but not limited to natural language processing, computer vision, deep learning, and machine learning.

We are creating a model for how AI can reinvent large companies, and industries. Through EY’s network of more than 250,000 professionals working in every sector, we have an opportunity to offer AI products and services that transform how business is done in all types of enterprises and to realize the vision of building a better working world.

You’ll help with substantial parts of developing and implementing a wide range of machine learning models to documents, images and structured data. You will drive development of large portions of critical project deliverables. You may guide other engineers, estimate task effort and communicate your approach and results effectively.

Key Requirements
Bachelor/ Master’s Degree in Computer science, Big data, or any relevant discipline
Machine Learning domain: solid understanding of and practical experience with various advanced analytics techniques and model families, including Decision Trees, Random Forest, Bayesian models, instance-based learning, association learning and Deep Learning algorithms, with a focus on Neural Networks and NLP applications.
Excellent level of Programming languages (Python, Scala) and statistical software (R, MATLAB); Best practices for each language; familiarity with SQL Database
Consulting skill sets to translate business requirements to analytics solution, and vice versa.
Fluent in English; Spanish or other languages are an asset. 

Preferred if you have:
Knowledge in Go, Java, or C++, HTML
Understanding in statistics
Experience developing complex software systems that have been deployed to an active userbase
Experience presenting at industry recognized ML conferences as well as being published in the field
Practical implementation of Natural Language Processing

If you feel that you meet these requirement, please apply with CV in English. Please note that, due to extremely high level of applications, incomplete files or applications without CV in English will NOT be taken forward.

Our commitment to diversity & inclusion
We are genuinely passionate about inclusion and we support individuals of all groups; we do not discriminate on the basis of race, religion, gender, sexual orientation, or disability status.
Nivel de experiencia
Sin experiencia
Sector
Consultoría de estrategia y operaciones Servicio de información
Tipo de empleo
Jornada completa
Funciones laborales
Consultoría Tecnología de la información",Data Scientist
711,Scopely,Director Data Science,Barcelona, 1 semana,345,no_data,Entretenimiento Servicios y tecnologías de la información,Jornada completa,Ingeniería Tecnología de la información,"Anunciado por
Ana Karina Grønneberg
Senior Talent Partner at Scopely
Scopely is looking for an industry expert to join us as a Director of Data Science for our Central Platform team. You should have a solid data science background, great communication skills, deep understanding of data products, and a strong focus on building a team and delivering meaningful results.

In this position you’ll work with a team of very talented data scientists and engineers, and collaborate closely with senior engineering leaders, product managers and data analysts to define and expand the data science initiatives that power our games, the game live operations and our strategy. Combining analytical rigor with creative vision and executional excellence, this will be an opportunity to put your stamp on the future of social and mobile gaming.

What you will do
Collaborate closely with product managers, game GMs and data analysts to identify and evaluate opportunities and define a roadmap for our industry-leading data capabilities.
Lead and grow a team of skilled data scientists and data engineers to continue building best-in-class technology and processes that support Scopely’s long-term data strategy, while delivering incremental value periodically.
Own full lifecycle for data science projects, from ideation to deployment and adoption, and optimize how we leverage data for Scopely’s growth.
Communicate analysis methodologies, results and their usage to different profiles, from engineers to business users.
Foster a company-wide data-driven culture.

What you will need
Several years of experience as a data scientist working with relevant data volumes
Deep understanding of data science project cycles
Great knowledge of statistics and machine learning. Understanding of the fundamentals of the most common machine learning algorithms
Proven ability in collaborating with senior engineering and product leaders..
Experience owning and executing a data science roadmap, with focus both in delivery and quality.
Experience managing and training data scientists.
Advanced level of Python and SQL and experience with Spark or other technologies to work with large datasets
Excellent written and oral communication skills, including data visualization.

About us:
Scopely is a leading mobile games company home to many top-grossing, award-winning franchises including Star Trek™ Fleet Command, Looney Tunes™ World of Mayhem, WWE Champions 2019, The Walking Dead: Road To Survival™, YAHTZEE® With Buddies and Wheel of Fortune®: Free Play, among others. Scopely creates rewarding, immersive games that empower a directed-by-consumer experience. Founded in 2011, Scopely is fueled by a world-class team and a proprietary technology platform that personalizes gameplay at scale across one of the most diversified portfolios in the west. Recognized in Fast Company’s ‘World’s Most Innovative Companies’ and #2 on Deloitte’s ‘Technology Fast 500’ as one of the fastest-growing companies in North America, Scopely has achieved more than $1 billion in lifetime revenue by creating game experiences that are an important part of people’s lives. With global operations in Los Angeles, Barcelona and Dublin (DIGIT Games Studios), and additional studios in seven countries across four continents, Scopely has raised more than $250 million in financing from global entertainment and technology investors. 

Scopely is committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, family or parental status, gender identity, veteran, or disability status, or other protected status. 

Candidate information will be treated in accordance with our candidate privacy notice which can be found here: https://scopely.com/scopely-candidate-privacy-notice/
Nivel de experiencia
Director
Sector
Entretenimiento Servicios y tecnologías de la información
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información",Data Scientist
712,Deloitte España,Data Scientist - Sevilla,Sevilla, 3 semanas,681,Sin experiencia,Servicios y tecnologías de la información Recursos humanos Servicios financieros,Jornada completa,Ingeniería Tecnología de la información,"Principales funciones

Trabajar en diversos casos de uso analíticos en los que se desarrollaran pipelines de analítica avanzada de datos, incorporando tareas de clasificación supervisada, no supervisada, clasificación de imágenes con técnicas de Deep Learning y parecido. Se desarrollarán dichos pipelines en entornos Big Data de Cloudera y sus servicios (Hadoop, Spark, etc), Python (librerías habituales del ecosistema ‘scikit-learn, Keras y parecidas).

Requisitos

Experiencia con lenguajes computacionales estadísticos, (R, Python, SQL...) para manipular datos y sacar información de bases de datos grandes.
Experiencia creando arquitecturas de datos.
Conocimientos en un varias técnicas de Machine Learning, (clustering, arboles de decisión, redes neuronales...) y más de 3 años de experiencia en su aplicación a casos reales.
Conocimientos de técnicas y conceptos estadísticas avanzadas, (regresión, propiedades de distribuciones, tests estadísticos y su uso adecuado...)
Motivación para aprender y dominar nuevas tecnologías y técnicas.
Conocimientos técnicos:
Más de 3 años de experiencia en programación y lenguajes Python y R, Scala y/o similares.
Amplia experiencia y expertise con el ecosistema de herramientas de Python (Jupyter, Zeppelin, etc).
Paquetes de data science como sikit-learn, keras y similares.
Conocimientos en el uso de plataformas Big Data Cloudera y su ecosistema de servicios.
Deseable conocimientos en SAS.
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Recursos humanos Servicios financieros
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información",Data Scientist
